element,selector,route,lifecycle_state,viewport,role,text_size,font_size_px,fg_rgb,bg_rgb,contrast_ratio,wcag_aa_required,wcag_aa_pass,target_w_px,target_h_px,target_size_pass
subnav-link,.subnav-link,/behind-the-build/,n/a,1440x900,interactive,small,13,"rgb(169,175,180)","rgb(9,6,5)",9.11,3.0,PASS,107,29,FAIL
subnav-label,.subnav-label,/behind-the-build/,n/a,1440x900,text,small,13,"rgb(169,175,180)","rgb(9,6,5)",9.11,4.5,PASS,N/A,N/A,N/A
page-button,button,/behind-the-build/,n/a,1440x900,button,small,13,"rgb(169,175,180)","rgb(168,174,179)",1.01,3.0,FAIL,34,34,FAIL
scene-nav-link,.overlay-blog-link,/,Black Hole,375x812,interactive,small,17,"rgb(150,145,138)","rgb(15,17,22)",6.04,3.0,PASS,21,21,FAIL
hud-power-btn,.overlay-blog-power,/,Black Hole,375x812,button,n/a,13,"rgb(189,181,170)","rgb(11,11,12)",9.70,3.0,PASS,34,34,FAIL
hud-nav-btn,.hud-nav-button,/,Black Hole,375x812,interactive,small,17,"rgb(223,229,236)","rgb(21,22,20)",14.31,3.0,PASS,39,41,FAIL
subnav-link,.subnav-link,/writing/,n/a,375x812,interactive,small,13,"rgb(169,175,180)","rgb(20,20,17)",8.33,3.0,PASS,99,27,FAIL
page-button,button,/writing/,n/a,375x812,button,small,13,"rgb(169,175,180)","rgb(28,28,27)",7.70,3.0,PASS,34,34,FAIL
page-button,button,/about/,n/a,375x812,button,small,13,"rgb(169,175,180)","rgb(30,29,29)",7.59,3.0,PASS,34,34,FAIL
subnav-link,.subnav-link,/projects/,n/a,375x812,interactive,small,13,"rgb(223,229,236)","rgb(26,25,23)",13.85,3.0,PASS,99,27,FAIL
article-link,article a,/projects/,n/a,375x812,link,body,12,"rgb(230,190,114)","rgb(13,10,7)",11.26,3.0,PASS,208,21,FAIL
page-button,button,/projects/,n/a,375x812,button,small,13,"rgb(169,175,180)","rgb(28,28,27)",7.70,3.0,PASS,34,34,FAIL
subnav-link,.subnav-link,/graveyard/,n/a,375x812,interactive,small,13,"rgb(169,175,180)","rgb(23,24,23)",8.04,3.0,PASS,99,27,FAIL
article-link,article a,/graveyard/,n/a,375x812,link,body,12,"rgb(141,133,121)","rgb(35,34,33)",4.36,3.0,PASS,144,21,FAIL
page-button,button,/graveyard/,n/a,375x812,button,small,13,"rgb(169,175,180)","rgb(29,29,29)",7.61,3.0,PASS,34,34,FAIL
subnav-link,.subnav-link,/behind-the-build/,n/a,375x812,interactive,small,13,"rgb(169,175,180)","rgb(22,21,19)",8.24,3.0,PASS,99,27,FAIL
page-button,button,/behind-the-build/,n/a,375x812,button,small,13,"rgb(169,175,180)","rgb(28,28,27)",7.70,3.0,PASS,34,34,FAIL
